"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"	"perc"
"NGS025-21-ITS2-100"	69469	60345	60174	60226	59966	59888	86,208236767479
"NGS025-21-ITS2-101"	62313	54981	54802	54878	54627	54460	87,3974932999535
"NGS025-21-ITS2-102"	76998	66806	66624	66774	66442	66363	86,1879529338424
"NGS025-21-ITS2-103"	71035	61409	61283	61382	60896	60888	85,7154923629197
"NGS025-21-ITS2-104"	67484	60451	60367	60405	60071	59971	88,8669906940904
"NGS025-21-ITS2-105"	60868	54314	54205	54227	53959	53817	88,4159164092791
"NGS025-21-ITS2-106"	53609	48059	47993	48041	47903	47840	89,2387472252793
"NGS025-21-ITS2-107"	43758	39207	39110	39143	38986	38881	88,8546094428447
"NGS025-21-ITS2-108"	55123	48671	48618	48646	48483	48464	87,9197431199318
"NGS025-21-ITS2-109"	44493	39801	39579	39708	39349	38621	86,8024183579439
"NGS025-21-ITS2-110"	71827	63830	63766	63791	63571	63497	88,4026897963162
"NGS025-21-ITS2-111"	72510	64182	63984	64141	63518	63410	87,4500068956006
"NGS025-21-ITS2-112"	56144	49649	49486	49536	49313	49260	87,7386719863209
"NGS025-21-ITS2-113"	63892	57258	57135	57209	56923	56807	88,9109747699243
"NGS025-21-ITS2-114"	64945	58218	58126	58160	57625	57539	88,5965047347756
"NGS025-21-ITS2-115"	62677	56811	56612	56715	56380	55899	89,1858257415001
"NGS025-21-ITS2-116"	50264	45138	44967	45043	44499	44088	87,7128760146427
"NGS025-21-ITS2-117"	49836	44771	44593	44708	44479	44282	88,8554458624288
"NGS025-21-ITS2-118"	82659	73369	73296	73352	73144	73131	88,4731245236453
"NGS025-21-ITS2-119"	58151	52650	52555	52613	52422	52322	89,9760967137281
"NGS025-21-ITS2-120"	67992	61658	61551	61602	61462	61345	90,22384986469
"NGS025-21-ITS2-121"	41483	36539	36416	36475	36185	36096	87,0139575247692
"NGS025-21-ITS2-122"	50005	44894	44816	44854	44743	44637	89,2650734926507
"NGS025-21-ITS2-123"	45581	39359	39195	39292	39027	38961	85,4764046422852
"NGS025-21-ITS2-124"	48967	43610	43521	43558	43467	43280	88,3860559152082
"NGS025-21-ITS2-125"	22548	18265	18114	18153	18001	17908	79,4216781976229
"NGS025-21-ITS2-126"	61448	53821	53712	53786	53570	53553	87,1517380549408
"NGS025-21-ITS2-127"	45752	41022	40932	40982	40831	39643	86,6475782479454
"NGS025-21-ITS2-128"	41623	38458	38399	38424	38364	37782	90,7719289815727
"NGS025-21-ITS2-129"	41024	37986	37879	37890	37793	36832	89,7815912636505
"NGS025-21-ITS2-130"	40477	37131	36920	37000	36751	36245	89,5446796946414
"NGS025-21-ITS2-131"	37796	33600	33578	33577	33486	33449	88,4987829399936
"NGS025-21-ITS2-132"	40186	36318	36259	36298	26508	24992	62,1908127208481
"NGS025-21-ITS2-133"	37425	33136	33070	33123	33017	32941	88,0187040748163
"NGS025-21-ITS2-134"	39023	34208	34176	34186	34079	34079	87,3305486507957
"NGS025-21-ITS2-135"	48582	18022	17952	17998	17687	17249	35,5049195175168
"NGS025-21-ITS2-136"	37366	34693	34665	34676	34622	34504	92,3406305197238
"NGS025-21-ITS2-137"	50996	43702	43647	43687	43574	43265	84,8399874499961
"NGS025-21-ITS2-138"	38350	35525	35507	35507	35476	35476	92,5058670143416
"NGS025-21-ITS2-139"	49243	41845	41772	41818	41750	39706	80,6327802936458
"NGS025-21-ITS2-140"	39973	36534	36461	36520	36439	36301	90,8137993145373
"NGS025-21-ITS2-141"	38583	32228	32159	32212	32122	29844	77,3501282948449
"NGS025-21-ITS2-142"	43729	40281	40264	40269	40231	40230	91,9984449678703
"NGS025-21-ITS2-143"	41412	35141	35090	35122	35062	35010	84,5407128368589
"NGS025-21-ITS2-144"	35235	32696	32622	32664	32389	28976	82,2364126578686
"NGS025-21-ITS2-145"	42084	37112	37054	37092	37030	37015	87,9550422963597
"NGS025-21-ITS2-146"	52856	48460	48390	48403	48302	47496	89,8592401997881
"NGS025-21-ITS2-147"	48588	45033	44993	45012	44917	44268	91,1089157816745
"NGS025-21-ITS2-148"	56538	14353	14271	14276	14163	14078	24,900067211433
"NGS025-21-ITS2-149"	39459	34674	34632	34656	30364	29971	75,9547885146608
"NGS025-21-ITS2-150"	45485	39306	39256	39284	35424	35367	77,7553039463559
"NGS025-21-ITS2-151"	42827	37624	37596	37610	37512	37451	87,4471711770612
"NGS025-21-ITS2-152"	47871	41743	41667	41703	41518	41457	86,6014915084289
"NGS025-21-ITS2-153"	45182	40982	40874	40885	40759	39905	88,3205701385507
"NGS025-21-ITS2-154"	33563	29950	29807	29875	28108	28014	83,4669129696392
"NGS025-21-ITS2-155"	37736	34569	34537	34560	34515	34457	91,310684757261
"NGS025-21-ITS2-156"	37132	34222	34188	34214	34159	34100	91,8345362490574
"NGS025-21-ITS2-157"	29307	22096	22069	22072	22055	21979	74,9957348073839
"NGS025-21-ITS2-158"	40978	31811	31770	31797	31704	31294	76,3678071160135
"NGS025-21-ITS2-159"	34509	32170	32148	32153	32137	32137	93,1264307861717
"NGS025-21-ITS2-160"	43656	38288	38190	38252	33911	32631	74,7457394172622
"NGS025-21-ITS2-161"	55132	50184	50123	50171	49743	45523	82,5709206994123
"NGS025-21-ITS2-162"	51026	45233	45168	45202	45087	43599	85,4446752635911
"NGS025-21-ITS2-163"	50726	47254	47216	47230	47185	46647	91,9587588219059
"NGS025-21-ITS2-164"	42767	37853	37705	37833	37564	36785	86,0125797928309
"NGS025-21-ITS2-165"	43496	40287	40235	40267	39720	38647	88,8518484458341
"NGS025-21-ITS2-166"	53696	48955	48861	48883	46523	45551	84,8312723480334
"NGS025-21-ITS2-167"	38492	34895	34844	34874	34799	34789	90,3798191832069
"NGS025-21-ITS2-168"	44207	39043	39013	39016	38760	37837	85,590517338883
"NGS025-21-ITS2-169"	46821	41061	41021	41037	40866	40866	87,2813481130262
"NGS025-21-ITS2-170"	51021	20482	20410	20450	20340	19967	39,134866035554
"NGS025-21-ITS2-171"	52384	48962	48914	48945	48891	48841	93,2364844227245
"NGS025-21-ITS2-172"	51142	46671	46629	46648	46590	46272	90,4774940362129
"NGS025-21-ITS2-173"	48310	44976	44957	44963	44916	44833	92,80273235355
"NGS025-21-ITS2-174"	50093	45520	45479	45495	45426	45273	90,3778971113728
"NGS025-21-ITS2-175"	51828	46524	46473	46503	46438	45261	87,3292428802964
"NGS025-21-ITS2-176"	36473	32687	32645	32664	32611	32062	87,9061223370713
"NGS025-21-ITS2-177"	51814	48259	48228	48229	48195	48182	92,9903114988227
"NGS025-21-ITS2-178"	44875	41599	41518	41569	41242	36608	81,5777158774373
"NGS025-21-ITS2-179"	56303	45581	45533	45571	45455	45039	79,9939612454043
"NGS025-21-ITS2-180"	46703	40622	40595	40602	40449	39874	85,377812988459
"NGS025-21-ITS2-181"	46436	43304	43280	43282	43252	43229	93,0937203893531
"NGS025-21-ITS2-182"	57927	53397	53345	53354	53290	53125	91,710256011877
"NGS025-21-ITS2-183"	47735	41358	41150	41251	40654	40080	83,9635487587724
"NGS025-21-ITS2-184"	46884	41657	41633	41642	41514	41514	88,5461991297671
"NGS025-21-ITS2-185"	48328	42943	42916	42918	42607	42607	88,1621420294653
"NGS025-21-ITS2-186"	46342	40124	40092	40104	39985	39985	86,2824219930085
"NGS025-21-ITS2-187"	48310	42784	42757	42772	42650	42650	88,2839991720141
"NGS025-21-ITS2-188"	54213	42921	42883	42914	42864	42810	78,9662995960379
"NGS025-21-ITS2-189"	37502	34792	34750	34776	34708	34314	91,4991200469308
"NGS025-21-ITS2-190"	53052	44095	44079	44084	43979	43979	82,8979114830732
"NGS025-21-ITS2-191"	62444	58230	58190	58211	58169	58169	93,153865863814
"NGS025-21-ITS2-192"	48963	43198	43113	43160	19367	17807	36,3682780875355
"NGS025-21-ITS2-193"	54216	50214	50193	50205	50013	49983	92,1923417441346
"NGS025-21-ITS2-194"	52306	48223	48203	48207	48145	48145	92,0448896876075
"NGS025-21-ITS2-195"	56616	52425	52315	52398	52261	52239	92,2689699025011
"NGS025-21-ITS2-196"	47920	44231	44209	44201	44149	43093	89,9269616026711
"NGS025-21-ITS2-197"	64082	59355	59323	59342	58927	54608	85,2158172341687
"NGS025-21-ITS2-198"	57710	53393	53352	53373	53270	52849	91,5768497660717
"NGS025-21-ITS2-199"	58944	51543	51494	51531	51362	50893	86,341273072747
"NGS025-21-ITS2-200"	66017	60916	60872	60897	60771	60522	91,676386385325
"NGS025-21-ITS2-201"	58602	56638	56247	56468	54072	51968	88,6795672502645
"NGS025-21-ITS2-202"	47406	41623	41530	41592	39176	37731	79,5911909884825
"NGS025-21-ITS2-203"	36041	32340	32326	32336	32238	32238	89,4481285202963
"NGS025-21-ITS2-204"	34367	30144	30123	30134	30020	29997	87,2843134402188
"NGS025-21-ITS2-205"	48555	43232	43205	43209	42970	42691	87,9229739470703
"NGS025-21-ITS2-206"	47684	44582	44458	44570	44426	44397	93,1067024578475
"NGS025-21-ITS2-207"	48680	42257	42206	42246	42106	41771	85,8073130649137
"NGS025-21-ITS2-208"	50714	47429	47400	47414	47384	47384	93,4337658240328
"NGS025-21-ITS2-209"	50853	43302	43262	43281	43199	43032	84,6203763789747
"NGS025-21-ITS2-210"	47474	40413	40374	40392	40336	40002	84,2608585752201
"NGS025-21-ITS2-211"	53663	49867	49832	49860	49802	49795	92,7920541154986
"NGS025-21-ITS2-212"	32804	30144	30129	30131	30116	30115	91,802828923302
"NGS025-21-ITS2-213"	54660	48335	48291	48321	48188	46833	85,6805708013172
"NGS025-21-ITS2-214"	56862	52853	52820	52828	52739	51726	90,9676057824206
"NGS025-21-ITS2-215"	63477	49015	48950	48997	48873	48706	76,7301542290909
"NGS025-21-ITS2-216"	46197	42536	42482	42493	42390	41392	89,5988917029244
"NGS025-21-ITS2-217"	59921	55242	55204	55220	55130	55099	91,952737771399
"NGS025-21-ITS2-218"	59447	54350	54237	54262	54049	52779	88,7832859521927
"NGS025-21-ITS2-219"	45628	40824	40754	40804	40385	40304	88,3317261330762
"NGS025-21-ITS2-220"	46154	41475	41233	41458	37049	36989	80,142566191446
"NGS025-21-ITS2-221"	44909	40643	40607	40625	40514	40420	90,0042307777951
"NGS025-21-ITS2-222"	46243	40703	40662	40690	40396	39873	86,224942153407
"NGS025-21-ITS2-223"	85547	76252	76192	76186	74352	74301	86,8540100763323
