"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"	"perc"
"NGS025-21-RUN-2-LM-CONV-18C"	71661	65256	65238	65239	65143	65143	90,9043970918631
"NGS025-21-RUN-2-LM-CONV-Control"	77879	70425	70388	70389	70302	70302	90,2708047098704
"NGS025-21-RUN-2-LM-CONV-NH4"	71540	65079	65047	65053	64930	64930	90,7604137545429
"NGS025-21-RUN-2-LM-CONV-SO2"	65569	59019	58995	58993	58897	58897	89,8244597294453
"NGS025-21-RUN-2-LM-ECO-18C"	69905	64574	64497	64540	43705	43157	61,7366425863672
"NGS025-21-RUN-2-LM-ECO-Control"	72975	67462	67404	67414	49635	49146	67,3463514902364
"NGS025-21-RUN-2-LM-ECO-NH4"	75532	68295	68252	68270	59685	59550	78,8407562357676
"NGS025-21-RUN-2-M-CONV-18C"	97891	90943	90823	90908	90484	90024	91,9635104350757
"NGS025-21-RUN-2-M-CONV-Control"	87147	81486	81455	81461	81063	80808	92,7260835140625
"NGS025-21-RUN-2-M-CONV-NH4"	100434	94258	94127	94234	93878	93495	93,0909851245594
"NGS025-21-RUN-2-M-ECO-18C"	93041	86451	86400	86419	85276	85030	91,3898173923324
"NGS025-21-RUN-2-M-ECO-Control"	96202	88745	88696	88705	87129	87084	90,5220265690942
"NGS025-21-RUN-2-M-ECO-NH4"	90466	83290	83250	83254	82306	82275	90,9457696814273
"NGS025-21-RUN-2-R1-CONV-18C"	119177	66114	66051	66067	65680	65268	54,7656007451102
"NGS025-21-RUN-2-R1-CONV-Control"	123885	89813	89733	89740	89527	88762	71,6487064616378
"NGS025-21-RUN-2-R1-CONV-NH4"	126676	78634	78517	78579	78387	77246	60,9791910069784
"NGS025-21-RUN-2-R1-ECO-18C"	89525	82575	82545	82559	82521	82520	92,1753700083775
"NGS025-21-RUN-2-R1-ECO-Control"	84180	78474	78447	78451	78439	78267	92,975766215253
"NGS025-21-RUN-2-R1-ECO-NH4"	76515	70753	70727	70726	70712	70712	92,415866170032
"NGS025-21-RUN-2-R1-ECO-SO2"	101967	93388	93327	93345	93187	89977	88,2412937519001
"NGS025-21-RUN-2-R2-CONV-18C"	83309	63569	63435	63528	63388	63307	75,9905892520616
"NGS025-21-RUN-2-R2-CONV-Control"	98707	68813	68744	68776	68614	68467	69,3638749024892
"NGS025-21-RUN-2-R2-CONV-NH4"	97082	68729	68697	68703	68605	68380	70,4353021157372
"NGS025-21-RUN-2-R2-CONV-SO2"	85595	76550	76490	76500	76480	76211	89,0367428003972
"NGS025-21-RUN-2-R2-ECO-18C"	64311	58949	58917	58923	58910	57987	90,1665344964314
"NGS025-21-RUN-2-R2-ECO-Control"	65444	60173	60134	60136	60126	59626	91,1099566041195
"NGS025-21-RUN-2-R2-ECO-NH4"	84085	77966	77836	77936	77825	77369	92,0128441458048
"NGS025-21-RUN-2-R3A-CONV-18C"	85616	79998	79977	79971	79964	79964	93,3984301999626
"NGS025-21-RUN-2-R3A-CONV-Control"	78386	72551	72522	72525	72509	72509	92,5024876891282
"NGS025-21-RUN-2-R3A-CONV-NH4"	69000	64184	64154	64164	64148	64148	92,968115942029
"NGS025-21-RUN-2-R3A-ECO-18C"	73420	68574	68554	68557	68552	68552	93,3696540452193
"NGS025-21-RUN-2-R3A-ECO-Control"	88848	82947	82912	82921	82905	82905	93,3110480821178
"NGS025-21-RUN-2-R3A-ECO-NH4"	63135	58246	58226	58226	58219	58219	92,2135107309733
"NGS025-21-RUN-2-R3B-CONV-18C"	83347	77045	77009	77025	76963	68204	81,8313796537368
"NGS025-21-RUN-2-R3B-CONV-Control"	56254	51616	51559	51588	51508	44730	79,5143456465318
"NGS025-21-RUN-2-R3B-CONV-NH4"	55158	50941	50918	50927	50867	44216	80,162442438087
"NGS025-21-RUN-2-R3B-CONV-SO2"	60366	54431	54401	54415	54316	54117	89,6481463075241
"NGS025-21-RUN-2-R3B-ECO-18C"	91511	85643	85609	85619	85596	85596	93,5362961829725
"NGS025-21-RUN-2-R3B-ECO-Control"	105188	98416	98383	98386	98373	98342	93,4916530402707
"NGS025-21-RUN-2-R3B-ECO-NH4"	91791	85694	85661	85669	85655	85655	93,3152487716661
"NGS025-21-RUN-2-R3C-ECO-18C"	86453	80782	80764	80771	80725	79405	91,8475934901044
"NGS025-21-RUN-2-R3C-ECO-Control"	83154	77908	77884	77884	77869	77869	93,6443225821969
"NGS025-21-RUN-2-R3C-ECO-NH4"	81510	76165	76140	76146	76121	76025	93,2707643233959
"NGS025-21-RUN-2-R3C-ECO-SO2"	83608	76669	76616	76644	76470	69524	83,1547220361688
"NGS025-21-RUN-2-RdG-CONV-18C"	75411	67796	67771	67769	67652	67652	89,7110501120526
"NGS025-21-RUN-2-RdG-CONV-Control"	68235	61309	61264	61259	61163	61163	89,6358173957646
