Sample,SortMeRNA,,,,,,,,,Assembly-stats,,,BUSCO,,,,,
,,,,,,,,,,,,,Complete,,,Fragmented,Missing,n
,Total reads,non rRNA reads,non rRNA reads (%),Mapped reads,Mapped reads (%),Mapped eggnog,Mapped eggnog (%),KO assigned,KO assigned (%),number,mean_length,N50,Total,Single,Duplicated,,,
LM-CONV-18C,16176378,15383646,95.1,12126124,78.82,11838586,76.96,8582930,72.5,10830,1187.8,2016,79.2,60.7,18.5,8.4,12.4,758
LM-CONV-Control,15094002,14932711,98.93,12232549,81.92,11025617,73.84,7922543,71.86,10845,1270.11,2206,85.8,62.3,23.5,6.6,7.6,758
LM-CONV-NH4,14754480,14598212,98.94,11982709,82.08,11298007,77.39,8497696,75.21,9910,1288.55,2145,88.6,69.3,19.3,4.6,6.8,758
LM-CONV-SO2,14926774,12972177,86.91,10413633,80.28,9912311,76.41,6922126,69.83,11081,1117.46,1883,80.0,60.7,19.3,7.0,13.0,758
LM-ECO-18C,16366496,10743641,65.64,8719371,81.16,7538042,70.16,5011165,66.48,19200,970.41,1887,88.5,37.7,50.8,5.7,5.8,758
LM-ECO-Control,16970968,14989310,88.32,12211280,81.47,9040995,60.32,6395615,70.74,18914,992.86,2307,95.6,46.0,49.6,2.2,2.2,758
LM-ECO-NH4,16124516,14020041,86.95,11487179,81.93,7993705,57.02,5510955,68.94,15914,995.24,2883,94.7,64.8,29.9,2.4,2.9,758
M-CONV-18C,16657170,10087041,60.56,7611119,75.45,7882394,78.14,6445566,81.77,14638,716.85,1352,55.1,36.0,19.1,7.7,37.2,758
M-CONV-Control,16083158,8784690,54.62,6208391,70.67,6649960,75.7,5354546,80.52,15182,664.4,1247,49.6,34.4,15.2,9.4,41.0,758
M-CONV-NH4,14804498,9309561,62.88,6531139,70.16,6879314,73.9,5429517,78.93,18792,623.2,1130,51.0,32.1,18.9,9.4,39.6,758
M-ECO-18C,13742876,6596316,48.00,4592841,69.63,4726306,71.65,3689815,78.07,15759,558.59,1020,38.6,26.9,11.7,11.7,49.7,758
M-ECO-Control,14888272,12488687,83.88,9012820,72.17,8944306,71.62,7068774,79.03,21696,654.54,1329,52.9,27.8,25.1,7.9,39.2,758
M-ECO-NH4,13736416,9093381,66.2,6387393,70.24,6642509,73.05,5317969,80.06,18849,567.51,1004,43.0,27.4,15.6,10.7,46.3,758
R1-CONV-18C,15740454,8857763,56.27,6202333,70.02,6008910,67.84,4764211,79.29,10163,907.89,1588,52.3,36.7,15.6,9.1,38.6,758
R1-CONV-Control,15135678,10118444,66.85,7450510,73.63,7292357,72.07,5704263,78.22,10208,970.12,1665,56.4,39.8,16.6,7.5,36.1,758
R1-CONV-NH4,13977624,11082404,79.29,8184352,73.85,8075137,72.86,6476903,80.21,10301,890.19,1541,53.7,38.8,14.9,8.6,37.7,758
