KEGG_ko	Symbol	Name
ko:K00002	AKR1A1, adh	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
ko:K00003	hom	homoserine dehydrogenase [EC:1.1.1.3]
ko:K00004	BDH, butB	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
ko:K00006	GPD1	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
ko:K00008,ko:K05351		
ko:K00015	gyaR, GOR1	glyoxylate reductase [EC:1.1.1.26]
ko:K00016	LDH, ldh	L-lactate dehydrogenase [EC:1.1.1.27]
ko:K00021	HMGCR	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
ko:K00026	MDH2	malate dehydrogenase [EC:1.1.1.37]
ko:K00027	ME2, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
ko:K00030	IDH3	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
ko:K00030,ko:K02899		
ko:K00031	IDH1, IDH2, icd	isocitrate dehydrogenase [EC:1.1.1.42]
ko:K00033	PGD, gnd, gntZ	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
ko:K00036	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
ko:K00039,ko:K04708		
ko:K00045	E1.1.1.67, mtlK	mannitol 2-dehydrogenase [EC:1.1.1.67]
ko:K00052	leuB, IMDH	3-isopropylmalate dehydrogenase [EC:1.1.1.85]
ko:K00053	ilvC	ketol-acid reductoisomerase [EC:1.1.1.86]
ko:K00058	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
ko:K00059	fabG, OAR1	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
ko:K00062	ARA2	D-arabinose 1-dehydrogenase [EC:1.1.1.116]
ko:K00063	ARA1	D-arabinose 1-dehydrogenase [EC:1.1.1.117]
ko:K00077,ko:K00511		
ko:K00088	IMPDH, guaB	IMP dehydrogenase [EC:1.1.1.205]
